TimeOfDay,Rn
0.00,-74.82
0.50,-70.65
1.00,-70.93
1.50,-70.21
2.00,-70.86
2.50,-71.37
3.00,-69.57
3.50,-67.70
4.00,-66.47
4.50,-67.48
5.00,-67.26
5.50,-64.46
6.00,-59.71
6.50,-47.70
7.00,3.24
7.50,75.68
8.00,156.12
8.50,238.20
9.00,314.32
9.50,393.60
10.00,455.54
10.50,525.90
11.00,576.97
11.50,616.54
12.00,633.81
12.50,643.88
13.00,640.28
13.50,638.84
14.00,600.00
14.50,576.97
15.00,530.21
15.50,491.65
16.00,401.15
16.50,343.60
17.00,261.73
17.50,173.31
18.00,91.94
18.50,55.46
19.00,-10.29
19.50,-69.23
20.00,-95.75
20.50,-95.39
21.00,-90.57
21.50,-86.55
22.00,-85.18
22.50,-82.08
23.00,-81.80
23.50,-82.95
